STANOX NO.,FULL NAME,CRS CODE,NR ROUTE
73250,ACTON T.C.,XAX,Western
72251,ACTON WELLS JN,,Anglia
73251,ACTON WEST,,Western
73235,ACTON YARD EWS,,Western
73248,ACTON YARD GBRF,,Western
73990,ACTON YD,,Western
73239,ACTONGDLP,,Western
65614,ADDERLEY PARK,ADD,LNW
4090,ADDIEWELL,ADW,Scotland
86011,ADDLESTONE,ASN,Wessex
86010,ADDLESTONE JN,,Wessex
89514,ADISHAM,ADM,Kent
32575,ADLINGTON (CHESHIRE),ADC,LNW
30321,ADLINGTON (LANCASHIRE),ADL,LNW
32561,ADSWOOD ROAD JN,,LNW
23118,ADWICK,AWK,LNE
23120,ADWICK JN,,LNE
64505,AFON WEN LC,,Wales
31561,AGECROFT NORTH JN,,LNW
31562,AGECROFT SOUTH JN,,LNW
36086,AIGBURTH,AIG,LNW
36062,AINSDALE,ANS,LNW
36027,AINTREE,AIN,LNW
36026,AINTREE SIGNAL 1206,,LNW
7476,AIRBLES,AIR,Scotland
7327,AIRDRIE,ADR,Scotland
7326,AIRDRIE C.S.,,Scotland
7325,AIRDRIE SIGNAL YS754,,Scotland
12401,AIRPORT (NEWCASTLE),APN,LNE
9438,AIS GILL,,LNW
84060,AISH EMERGENCY CROSSOVER,,Western
88462,ALBANY PARK,AYP,Kent
65033,ALBRIGHTON,ALB,LNW
12214,ALCAN BRANCH JN.,,LNE
45190,ALCONBURY,,LNE
32581,ALDERLEY EDGE,ALD,LNW
74714,ALDERMASTON,AMT,Western
74712,ALDERMASTON PADWORTH SDGS,,Western
74713,ALDERMASTON TIP ISU (CE),,Western
50430,ALDERSBROOK UP C.H.S.,XAK,Anglia
87031,ALDERSHOT,AHT,Wessex
87037,ALDERSHOT NORTH JN,,Wessex
87032,ALDERSHOT SIGNAL AS15,,Wessex
87033,ALDERSHOT SIGNAL AS16,,Wessex
87013,ALDERSHOT SOUTH JN,,Wessex
87123,ALDGATE EAST,ZAE,Wessex
65532,ALDRIDGE,,LNW
87985,ALDRINGTON,AGT,Sussex
24701,ALDWARKE JN,,LNE
24500,ALDWARKE JN SIG S738,,LNE
24502,ALDWARKE REPAIR SIDINGS,,LNE
24501,ALDWARKE U.E.S.,,LNE
36190,ALERTNGAS,,LNW
36105,ALEXAN DK,,LNW
76470,ALEXANDRA DOCK JN. T.C.,,Wales
76469,ALEXANDRA DOCKS UDG,,Wales
54103,ALEXANDRA PALACE,AAP,LNE
6525,ALEXANDRA PARADE,AXP,Scotland
6123,ALEXANDRIA,ALX,Scotland
76464,ALEXDOCKJ,,Wales
56127,ALFRETON,ALF,East Midlands
7492,ALLANTON LOOP,,Scotland
86104,ALLBROOK,XEW,Wessex
66428,ALLEN ROWLAND WORKS,,LNW
15702,ALLENS WEST,ALW,LNE
36191,ALLERTON D.M.U.D.,XAL,LNW
36195,ALLERTON JN,,LNW
89314,ALLINGTON A.R.C. REVERSE,,Kent
89312,ALLINGTON A.R.C. SDG.,,Kent
44505,ALLINGTON EAST JN,,LNE
44509,ALLINGTON JN,,LNE
44507,ALLINGTON NORTH JN,,LNE
3375,ALLOA,ALO,Scotland
3373,ALLOA LOOP,,Scotland
64705,ALLSCOTT GF,,Wales
64704,ALLSCOTT SDGS,,Wales
1058,ALNESS,ASS,Scotland
12112,ALNMOUTH FOR ALNWICK,ALM,LNE
87018,ALRESFORD,,Wessex
50027,ALRESFORD (ESSEX),ALR,Anglia
